track_name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,track_id,track_genre_num
I See Red - 0,77.0,52.20512820512821,44.930904836390624,80.49606746896617,3.8636363636363638,0.7148367096567365,1.395112016293279,23.51129363449692,22.23340040241449,64.47290567526255,blues,0,0.0
Cigarette Daydreams - 1,79.0,65.23076923076924,67.80113015023933,90.23263526959158,2.846320346320346,8.101459282159244,0.0,6.991786447638603,27.46478873239437,46.833653830350244,blues,1,0.0
Play with Fire (feat. Yacht Money) - 2,76.0,58.76923076923077,54.05893336077761,83.95716857765564,3.4848484848484844,1.625488697322874,0.0011812627291242362,9.240246406570842,39.2354124748491,30.821951580296826,blues,2,0.0
Seven Nation Army - 3,84.0,76.2051282051282,44.73028882486563,79.89197384629962,7.391774891774891,0.39053616719128725,12.016293279022403,33.059548254620125,27.967806841046283,50.784806797823904,blues,3,0.0
Wonderful Tonight - 4,76.0,58.666666666666664,21.45883148796695,61.371174073723104,3.1709956709956706,65.1602822800276,13.136456211812627,11.293634496919918,48.79275653923541,39.257597422875264,blues,4,0.0
I'm Dangerous - 5,65.0,70.87179487179488,84.35195110105089,81.74215862787833,4.7186147186147185,0.438729436659837,0.004521384928716904,30.287474332648873,75.95573440643864,37.81248459148957,blues,5,0.0
Angel - 6,1.0,27.692307692307697,57.87063757975238,78.972803942007,6.2012987012987,75.80296262099901,12.525458248472503,12.731006160164272,36.418511066398395,69.95628091974424,blues,6,0.0
This Girl's in Love with You - 7,0.0,59.38461538461539,41.01889261165334,74.4717142044916,2.9004329004329,62.65021616187396,0.0018635437881873726,16.940451745379878,52.91750503018109,44.958746281412814,blues,7,0.0
Sweet Home Alabama - 8,2.0,62.97435897435898,72.61591442683905,80.56950630152562,2.673160173160173,21.786339758332844,0.02606924643584521,13.449691991786446,90.74446680080484,40.21128149499531,blues,8,0.0
Sweet Home Alabama - 9,0.0,62.97435897435898,72.61591442683905,80.56950630152562,2.673160173160173,21.786339758332844,0.02606924643584521,13.449691991786446,90.74446680080484,40.21128149499531,blues,9,0.0
Rough Boy - 10,1.0,42.97435897435898,73.91991850175148,81.59054297356201,3.9393939393939394,20.481105376892952,0.7291242362525457,23.100616016427104,59.859154929577464,64.91749256282563,blues,10,0.0
Sleigh Ride - 11,0.0,60.82051282051282,28.781315908629033,68.84061404339998,5.075757575757575,76.70658642353432,0.0,14.168377823408624,64.28571428571429,31.68688263234883,blues,11,0.0
My Girl (Mono) - 12,1.0,75.8974358974359,32.292096110316336,76.4498246943997,4.3181818181818175,55.32082309686537,0.07810590631364561,15.91375770020534,63.17907444668008,42.27643278602304,blues,12,0.0
Wonderful World - 13,0.0,88.51282051282051,62.58511385058962,85.03269212546195,4.058441558441558,54.21639400487777,0.0008584521384928717,1.5400410677618068,96.37826961770624,43.3451670693424,blues,13,0.0
Simple Life - 14,1.0,56.307692307692314,89.36735138917561,88.8065005211788,3.7987012987012982,1.414643143397969,0.32892057026476573,5.24640657084189,51.10663983903421,46.0184409052808,blues,14,0.0
Jingle Bells - 15,0.0,71.6923076923077,72.81653043836404,85.67942765090496,7.857142857142856,57.73048657029285,0.0,65.70841889117044,88.22937625754528,48.972355077823245,blues,15,0.0
I Want to Thank You - 16,0.0,55.07692307692308,52.25338925705271,71.55548185350136,6.558441558441558,56.224446899400675,0.6771894093686354,7.484599589322382,96.68008048289738,81.91657216113603,blues,16,0.0
Merry Christmas Baby - 17,0.0,72.82051282051282,29.18254793167901,64.90808300957073,3.6580086580086575,35.13989150691016,0.0,11.60164271047228,86.11670020120725,41.712686751146386,blues,17,0.0
Simple Life - 18,0.0,56.307692307692314,89.36735138917561,88.8065005211788,3.7987012987012982,1.414643143397969,0.32892057026476573,5.24640657084189,51.10663983903421,46.0184409052808,blues,18,0.0
Merry Christmas Baby - 19,0.0,72.82051282051282,29.18254793167901,64.90808300957073,3.6580086580086575,35.13989150691016,0.0,11.60164271047228,86.11670020120725,41.712686751146386,blues,19,0.0
Merry Christmas Baby - 20,0.0,72.82051282051282,29.18254793167901,64.90808300957073,3.6580086580086575,35.13989150691016,0.0,11.60164271047228,86.11670020120725,41.712686751146386,blues,20,0.0
Sleigh Ride - 21,0.0,60.82051282051282,28.781315908629033,68.84061404339998,5.075757575757575,76.70658642353432,0.0,14.168377823408624,64.28571428571429,31.68688263234883,blues,21,0.0
Sharp Dressed Man - 2003 Remaster - 22,0.0,54.05128205128206,78.8350107841137,79.41106794276509,3.9177489177489178,0.01432745740242093,0.2759674134419552,7.186858316221766,34.507042253521135,51.40977598080305,blues,22,0.0
Frosty The Snowman - 23,0.0,59.38461538461539,50.34753714756531,80.45342556618971,5.5519480519480515,73.5941044370238,0.0,27.310061601642715,84.1046277665996,31.549644166132502,blues,23,0.0
Frosty The Snowman - 24,0.0,59.38461538461539,50.34753714756531,80.45342556618971,5.5519480519480515,73.5941044370238,0.0,27.310061601642715,84.1046277665996,31.549644166132502,blues,24,0.0
Never Gonna Give You Up - 25,0.0,57.12820512820514,66.69774208685189,83.7226381123851,3.54978354978355,32.22821480985195,0.028615071283095723,5.780287474332649,43.96378269617706,31.146968426934894,blues,25,0.0
Merry Christmas Baby - 26,0.0,72.82051282051282,29.18254793167901,64.90808300957073,3.6580086580086575,35.13989150691016,0.0,11.60164271047228,86.11670020120725,41.712686751146386,blues,26,0.0
Ain't That Love - 27,0.0,77.02564102564104,46.836756945878015,75.79835117975931,35.38961038961039,30.420967204781334,0.0,15.195071868583161,77.8672032193159,48.530644445540155,blues,27,0.0
