track_id,track_name,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre_num,Cluster_Labels
1526,"Clair de Lune, L. 32 - 1526",classical,68.0,34.358974358974365,0.5265568454496377,23.417511608073525,4.069264069264069,99.79919471054772,92.87169042769857,4.835728952772074,3.993963782696177,27.049948227404954,11.11111111111111,38
5988,Some Kind Of Wonderful - 5988,jazz,37.0,78.87179487179488,29.383163943204,68.62977352411636,3.225108225108225,66.76672459564594,0.1364562118126273,17.659137577002056,43.66197183098592,43.55143566227832,55.55555555555556,1
8572,Chicharrón - 8572,reggae,0.0,75.28205128205128,79.13593480140119,88.18819293092011,49.13419913419913,44.878948045346256,0.009837067209775967,49.58932238193019,81.58953722334005,31.3026971056654,88.88888888888889,9
533,Listen to the Music - 533,blues,76.0,66.15384615384616,59.97710570076477,67.16336586752581,3.6255411255411256,22.187950337237424,0.00035947046843177186,5.862422997946611,91.85110663983905,43.525549364758476,0.0,5
7784,Amantes Prohibidos - 7784,r-n-b,42.0,38.97435897435898,43.6269007614782,84.28645882687387,3.7445887445887442,53.31277020234246,0.00046639511201629325,48.25462012320329,54.42655935613683,65.64395246782702,77.77777777777777,17
8587,Si No Te Quisiera - 8587,reggae,0.0,72.3076923076923,87.6621152912132,92.43106225717806,7.824675324675324,17.067415456204017,0.0,5.328542094455852,79.27565392354126,52.602600134773105,88.88888888888889,24
7804,Crocodile - 7804,r-n-b,41.0,70.97435897435898,63.38757789668958,88.33743959063773,9.145021645021645,10.942854127909156,0.0,7.741273100616015,62.97786720321932,33.91515868711273,77.77777777777777,36
2274,Present Without A Bow - 2274,country,0.0,71.07692307692308,49.34445708994037,81.89377428219464,4.090909090909091,56.12404425467453,0.00037270875763747454,8.439425051334702,59.859154929577464,31.234899659780087,22.22222222222222,21
1989,"Six German Dances, K.509: No. 1 in C - 1989",classical,7.0,42.35897435897436,5.098595748104129,54.10309864493508,4.058441558441558,96.88751801348951,91.85336048879837,23.100616016427104,51.7102615694165,38.260769521555474,11.11111111111111,6
9529,Frosty The Snowman - 1991 Remix - 9529,rock,2.0,43.69230769230769,47.43860498045298,79.61480147825263,3.6255411255411256,35.441099441088596,0.0,0.862422997946612,94.26559356136822,74.6807356639219,100.0,3
5092,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC - 5092,jazz,0.0,48.51282051282051,6.813862646642782,50.92864588268738,3.4090909090909087,89.55812494848091,0.219959266802444,9.240246406570842,26.358148893360163,38.53237019870815,55.55555555555556,11
9922,Merry Christmas Darling - 9922,rock,0.0,55.7948717948718,29.18254793167901,65.46242774566474,2.965367965367965,71.68645418722704,0.029327902240325866,8.347022587268993,16.901408450704228,31.205315319757403,100.0,18
8229,RUMBATÓN - 8229,reggae,2.0,70.25641025641026,91.17289549290051,88.83019046716574,4.285714285714286,4.727930419360764,0.0,34.394250513347025,92.75653923541249,39.03653665992801,88.88888888888889,3
8697,Pasarela - 8697,reggae,0.0,81.84615384615385,82.345790985801,83.83398085852365,6.45021645021645,9.88862635828463,0.000594704684317719,16.73511293634497,52.91750503018109,39.03653665992801,88.88888888888889,24
6293,Mistletoe - 6293,pop,0.0,63.8974358974359,66.99866610413937,81.13569601061309,5.746753246753246,47.69022209767832,0.0,7.31006160164271,82.79678068410463,66.54339858323883,66.66666666666666,9
4840,Special - 4840,hip-hop,0.0,53.02564102564103,70.91067832887664,85.4188382450488,7.499999999999999,1.6455692262681032,0.0,44.969199178644764,26.559356136820927,34.046233749157665,44.44444444444444,8
8775,Verano En París - Remix - 8775,reggae,0.0,69.43589743589745,75.4245385881889,88.96996114848858,41.55844155844156,23.593587363403458,0.0,17.864476386036962,45.77464788732395,78.90677645743963,88.88888888888889,14
2246,Chillin' It - 2246,country,1.0,59.07692307692307,85.15441514715084,91.14469819008812,4.177489177489178,51.30471730781955,0.004083503054989816,9.650924024640657,67.00201207243461,56.69920944069162,22.22222222222222,21
4916,Chaos - 4916,hip-hop,0.0,66.87179487179488,66.19620205803942,85.78603240784611,3.9393939393939394,0.07165736754104989,0.0980651731160896,12.217659137577003,25.653923541247487,43.140131157240766,44.44444444444444,30
4194,Limbo - 4194,hip-hop,7.0,82.56410256410257,88.06334731426318,89.32294134369373,9.35064935064935,7.569325265110674,0.335030549898167,5.195071868583163,92.75653923541249,51.35923606659763,44.44444444444444,12
6178,Jashn-E-Bahaaraa - 6178,pop,70.0,71.7948717948718,34.39856423132872,73.57386525158722,3.333333333333333,77.00779435771275,0.0,6.5605749486652964,49.09456740442656,56.647436845651924,66.66666666666666,23
516,Tighten Up - 516,blues,61.0,53.02564102564103,71.31191035192663,84.55178622192741,6.785714285714286,0.07557307068536954,0.0007281059063136456,56.77618069815195,58.5513078470825,44.72412602928849,0.0,40
7146,Alice (Não me escreva aquela carta de amor) - 7146,r-n-b,0.0,60.0,70.20852228853919,78.03468208092485,9.166666666666666,8.53319065448167,24.94908350305499,9.034907597535934,95.67404426559357,72.96977466594349,77.77777777777777,3
9394,Rock And Roll All Nite - 9394,rock,1.0,55.384615384615394,92.8781315908629,83.68710319340471,17.532467532467532,1.9166563670286951,0.0,65.29774127310063,69.01408450704227,59.49739493450356,100.0,3
5924,Rising - 5924,jazz,59.0,37.53846153846154,39.91550454826591,75.28901734104046,8.203463203463203,78.81504196278337,86.15071283095722,9.856262833675565,4.014084507042254,29.138520454283977,55.55555555555556,4
